iter	MultiClassOneVsAll
903	0.224170899
904	0.2239338812
905	0.2237303874
906	0.2234429994
907	0.2231722043
908	0.2229027429
909	0.2226834244
910	0.2224751285
911	0.2222352567
912	0.2219432447
913	0.2216544608
914	0.2213794377
915	0.2211386435
916	0.2209212422
917	0.2205474699
918	0.2202495758
919	0.2199830616
920	0.2197294414
921	0.2195317933
922	0.2192627156
923	0.2190589899
924	0.2187901037
925	0.2186124364
926	0.2183887865
927	0.2181617607
928	0.2178992245
929	0.2177673017
930	0.217516904
931	0.2171598836
932	0.2168582134
933	0.2165626117
934	0.2162939323
935	0.2161058307
936	0.2157675775
937	0.2155126798
938	0.2152596936
939	0.2149802378
940	0.2148003646
941	0.2145635644
942	0.2143080936
943	0.214124909
944	0.2139820302
945	0.2137774038
946	0.2135577725
947	0.213265421
948	0.2130170552
